country,harvest_group,crop_year,crop_year_beg,crop_year_end,consumption_1k_bags,consumption_kg,consumption_lb
Angola,April,1990/91,1990,1991,20.0,1200000.0,2645547.14622
Bolivia (Plurinational State of),April,1990/91,1990,1991,25.0,1500000.0,3306933.932775
Brazil,April,1990/91,1990,1991,8200.0,492000000.0,1084674329.9502
Burundi,April,1990/91,1990,1991,2.0,120000.0,264554.714622
Ecuador,April,1990/91,1990,1991,350.0,21000000.0,46297075.05885
Indonesia,April,1990/91,1990,1991,1242.0,74520000.0,164288477.780262
Madagascar,April,1990/91,1990,1991,350.0,21000000.0,46297075.05885
Malawi,April,1990/91,1990,1991,2.0,120000.0,264554.714622
Papua New Guinea,April,1990/91,1990,1991,3.0,180000.0,396832.071933
Paraguay,April,1990/91,1990,1991,15.0,900000.0,1984160.359665
Peru,April,1990/91,1990,1991,190.0,11400000.0,25132697.88909
Rwanda,April,1990/91,1990,1991,1.0,60000.0,132277.357311
Timor-Leste,April,1990/91,1990,1991,0.0,0.0,0.0
Zimbabwe,April,1990/91,1990,1991,8.0,480000.0,1058218.858488
Congo,July,1990/91,1990,1991,3.0,180000.0,396832.071933
Cuba,July,1990/91,1990,1991,213.0,12780000.0,28175077.107243
Dominican Republic,July,1990/91,1990,1991,320.0,19200000.0,42328754.33952
Haiti,July,1990/91,1990,1991,220.0,13200000.0,29101018.60842
Philippines,July,1990/91,1990,1991,720.0,43200000.0,95239697.26392
Tanzania,July,1990/91,1990,1991,4.0,240000.0,529109.429244
Zambia,July,1990/91,1990,1991,1.5,90000.0,198416.0359665
Cameroon,October,1990/91,1990,1991,83.3,4998000.0,11018703.8640063
Central African Republic,October,1990/91,1990,1991,28.0,1680000.0,3703766.004708
Colombia,October,1990/91,1990,1991,1235.0,74100000.0,163362536.279085
Costa Rica,October,1990/91,1990,1991,375.0,22500000.0,49604008.991625
Côte d'Ivoire,October,1990/91,1990,1991,50.0,3000000.0,6613867.86555
Democratic Republic of Congo,October,1990/91,1990,1991,200.0,12000000.0,26455471.4622
El Salvador,October,1990/91,1990,1991,180.0,10800000.0,23809924.31598
Equatorial Guinea,October,1990/91,1990,1991,0.0,0.0,0.0
Ethiopia,October,1990/91,1990,1991,1200.0,72000000.0,158732828.7732
Gabon,October,1990/91,1990,1991,1.7,102000.0,224871.5074287
Ghana,October,1990/91,1990,1991,17.0,1020000.0,2248715.074287
Guatemala,October,1990/91,1990,1991,300.0,18000000.0,39683207.1933
Guinea,October,1990/91,1990,1991,25.0,1500000.0,3306933.932775
Guyana,October,1990/91,1990,1991,0.0,0.0,0.0
Honduras,October,1990/91,1990,1991,188.154,11289240.0,24888513.887493894
India,October,1990/91,1990,1991,903.0,54180000.0,119446453.651833
Jamaica,October,1990/91,1990,1991,7.0,420000.0,925941.501177
Kenya,October,1990/91,1990,1991,50.0,3000000.0,6613867.86555
Lao People's Democratic Republic,October,1990/91,1990,1991,0.0,0.0,0.0
Liberia,October,1990/91,1990,1991,3.0,180000.0,396832.071933
Mexico,October,1990/91,1990,1991,1374.0,82440000.0,181749088.945314
Nepal,October,1990/91,1990,1991,0.0,0.0,0.0
Nicaragua,October,1990/91,1990,1991,34.0,2040000.0,4497430.148574
Nigeria,October,1990/91,1990,1991,27.5,1650000.0,3637627.3260525
Panama,October,1990/91,1990,1991,63.0,3780000.0,8333473.510593
Sierra Leone,October,1990/91,1990,1991,9.0,540000.0,1190496.215799
Sri Lanka,October,1990/91,1990,1991,66.667,4000020.0,8818534.579852438
Thailand,October,1990/91,1990,1991,188.0,11280000.0,24868143.174468
Togo,October,1990/91,1990,1991,1.0,60000.0,132277.357311
Trinidad & Tobago,October,1990/91,1990,1991,8.0,480000.0,1058218.858488
Uganda,October,1990/91,1990,1991,70.0,4200000.0,9259415.01177
Venezuela,October,1990/91,1990,1991,782.39,46943400.0,103492481.58655329
Viet Nam,October,1990/91,1990,1991,150.0,9000000.0,19841603.59665
Yemen,October,1990/91,1990,1991,0.0,0.0,0.0
Angola,April,1991/92,1991,1992,30.0,1800000.0,3968320.71933
Bolivia (Plurinational State of),April,1991/92,1991,1992,27.0,1620000.0,3571488.647397
Brazil,April,1991/92,1991,1992,8500.0,510000000.0,1124357537.1435
Burundi,April,1991/92,1991,1992,1.6,96000.0,211643.7716976
Ecuador,April,1991/92,1991,1992,350.0,21000000.0,46297075.05885
Indonesia,April,1991/92,1991,1992,1280.0,76800000.0,169315017.35808
Madagascar,April,1991/92,1991,1992,300.0,18000000.0,39683207.1933
Malawi,April,1991/92,1991,1992,2.0,120000.0,264554.714622
Papua New Guinea,April,1991/92,1991,1992,3.0,180000.0,396832.071933
Paraguay,April,1991/92,1991,1992,15.0,900000.0,1984160.359665
Peru,April,1991/92,1991,1992,190.0,11400000.0,25132697.88909
Rwanda,April,1991/92,1991,1992,1.0,60000.0,132277.357311
Timor-Leste,April,1991/92,1991,1992,0.0,0.0,0.0
Zimbabwe,April,1991/92,1991,1992,8.0,480000.0,1058218.858488
Congo,July,1991/92,1991,1992,2.667,160020.0,352783.711948437
Cuba,July,1991/92,1991,1992,213.0,12780000.0,28175077.107243
Dominican Republic,July,1991/92,1991,1992,320.0,19200000.0,42328754.33952
Haiti,July,1991/92,1991,1992,330.0,19800000.0,43651527.91263
Philippines,July,1991/92,1991,1992,750.0,45000000.0,99208017.98325
Tanzania,July,1991/92,1991,1992,3.5,210000.0,462970.7505885
Zambia,July,1991/92,1991,1992,1.5,90000.0,198416.0359665
Cameroon,October,1991/92,1991,1992,83.333,4999980.0,11023069.016797563
Central African Republic,October,1991/92,1991,1992,28.0,1680000.0,3703766.004708
Colombia,October,1991/92,1991,1992,1269.0,76140000.0,167859966.427659
Costa Rica,October,1991/92,1991,1992,375.0,22500000.0,49604008.991625
Côte d'Ivoire,October,1991/92,1991,1992,50.0,3000000.0,6613867.86555
Democratic Republic of Congo,October,1991/92,1991,1992,200.0,12000000.0,26455471.4622
El Salvador,October,1991/92,1991,1992,180.0,10800000.0,23809924.31598
Equatorial Guinea,October,1991/92,1991,1992,0.0,0.0,0.0
Ethiopia,October,1991/92,1991,1992,1264.0,75840000.0,167198579.641104
Gabon,October,1991/92,1991,1992,1.0,60000.0,132277.357311
Ghana,October,1991/92,1991,1992,17.0,1020000.0,2248715.074287
Guatemala,October,1991/92,1991,1992,300.0,18000000.0,39683207.1933
Guinea,October,1991/92,1991,1992,25.0,1500000.0,3306933.932775
Guyana,October,1991/92,1991,1992,0.0,0.0,0.0
Honduras,October,1991/92,1991,1992,257.1,15426000.000000002,34008508.564658105
India,October,1991/92,1991,1992,916.667,55000020.0,121254288.29420243
Jamaica,October,1991/92,1991,1992,11.0,660000.0,1455050.930421
Kenya,October,1991/92,1991,1992,50.0,3000000.0,6613867.86555
Lao People's Democratic Republic,October,1991/92,1991,1992,0.0,0.0,0.0
Liberia,October,1991/92,1991,1992,3.0,180000.0,396832.071933
Mexico,October,1991/92,1991,1992,1200.0,72000000.0,158732828.7732
Nepal,October,1991/92,1991,1992,0.0,0.0,0.0
Nicaragua,October,1991/92,1991,1992,138.0,8280000.0,18254275.308918
Nigeria,October,1991/92,1991,1992,35.75,2145000.0,4728915.52386825
Panama,October,1991/92,1991,1992,67.0,4020000.0,8862582.939837
Sierra Leone,October,1991/92,1991,1992,9.0,540000.0,1190496.215799
Sri Lanka,October,1991/92,1991,1992,67.0,4020000.0,8862582.939837
Thailand,October,1991/92,1991,1992,220.0,13200000.0,29101018.60842
Togo,October,1991/92,1991,1992,1.0,60000.0,132277.357311
Trinidad & Tobago,October,1991/92,1991,1992,11.5,690000.0,1521189.6090765
Uganda,October,1991/92,1991,1992,75.0,4500000.0,9920801.798325
Venezuela,October,1991/92,1991,1992,815.48,48928800.0,107869539.33997428
Viet Nam,October,1991/92,1991,1992,230.0,13800000.0,30423792.18153
Yemen,October,1991/92,1991,1992,0.0,0.0,0.0
Angola,April,1992/93,1992,1993,35.0,2100000.0,4629707.505885
Bolivia (Plurinational State of),April,1992/93,1992,1993,27.5,1650000.0,3637627.3260525
Brazil,April,1992/93,1992,1993,8900.0,534000000.0,1177268480.0679
Burundi,April,1992/93,1992,1993,1.7,102000.0,224871.5074287
Ecuador,April,1992/93,1992,1993,350.0,21000000.0,46297075.05885
Indonesia,April,1992/93,1992,1993,1319.0,79140000.0,174473834.29320902
Madagascar,April,1992/93,1992,1993,350.0,21000000.0,46297075.05885
