country,calendar_year,exports_1k_bags,exports_kg,exports_lb
Angola,1990.0,84.35,5061000.0,11157595.08918285
Bolivia (Plurinational State of),1990.0,156.442,9386520.0,20693734.33244746
Brazil,1990.0,16935.7876003,1016147256.0179999,2240221227.748086
Burundi,1990.0,584.773,35086380.0,77352227.0668254
Cameroon,1990.0,2611.2590004,156675540.024,345410439.8274755
Central African Republic,1990.0,196.698,11801880.0,26018691.62835908
Colombia,1990.0,13943.8700004,836632200.0239999,1844458274.3410444
Congo,1990.0,1.68,100800.0,222225.96028248
Costa Rica,1990.0,2265.644,135938640.0,299693400.9275233
Côte d'Ivoire,1990.0,4282.8659998,256971959.98800004,566526196.1706779
Cuba,1990.0,181.7789999,10906739.993999999,24045245.72140853
Democratic Republic of Congo,1990.0,1838.636,110318160.0,243209911.1368678
Dominican Republic,1990.0,535.207,32112420.0,70795767.57434838
Ecuador,1990.0,1783.7159997,107022959.98200001,235945238.6336645
El Salvador,1990.0,2509.873,150592380.0,331999367.6262315
Equatorial Guinea,1990.0,7.068,424080.0,934936.361474148
Ethiopia,1990.0,1074.101,64446060.0,142079241.76510242
Gabon,1990.0,2.314,138840.0,306089.804817654
Ghana,1990.0,10.865,651900.0,1437193.487184015
Guatemala,1990.0,3240.141,194408460.0,428597288.7950209
Guinea,1990.0,121.696,7301760.0,16097625.275319457
Guyana,1990.0,0.1999992,11999.952,26455.36564031415
Haiti,1990.0,191.445,11486700.0,25323838.670404397
Honduras,1990.0,1735.093,104105580.0,229513516.72881493
India,1990.0,1979.1479994,118748879.96399999,261796467.0879846
Indonesia,1990.0,6903.2269994,414193619.964,913140624.3985761
Jamaica,1990.0,14.9839996,899039.976,1982043.8690370813
Kenya,1990.0,1969.338,118160280.0,260498826.2921301
Lao People's Democratic Republic,1990.0,98.3329992,5899979.9520000005,13007229.270640679
Liberia,1990.0,22.411,1344660.0,2964467.854696821
Madagascar,1990.0,863.0399999,51782399.994,114160650.44045772
Malawi,1990.0,124.154,7449240.0,16422763.019589894
Mexico,1990.0,3683.1040021,220986240.126,487191264.09935576
Nepal,1990.0,0.0,0.0,0.0
Nicaragua,1990.0,671.1839999,40271039.994,88782445.77619849
Nigeria,1990.0,3.582,214920.0,473817.493888002
Panama,1990.0,131.654,7899240.0,17414843.199422393
Papua New Guinea,1990.0,1050.719,63043140.0,138986332.59645662
Paraguay,1990.0,262.5019999,15750119.993999999,34723070.83562438
