country,harvest_group,crop_year,crop_year_beg,crop_year_end,exports_1k_bags,exports_kg,exports_lb
Angola,April,1990/91,1990,1991,79.345,4760700.0,10495546.915841294
Bolivia (Plurinational State of),April,1990/91,1990,1991,111.977,6718620.0,14812021.639613846
Brazil,April,1990/91,1990,1991,17862.6286,1071757716.0000001,2362821305.835888
Burundi,April,1990/91,1990,1991,412.393,24743580.0,54550256.213555224
Ecuador,April,1990/91,1990,1991,1627.778,97666680.0,215318172.12898496
Indonesia,April,1990/91,1990,1991,6720.383,403222980.0,888954503.3577701
Madagascar,April,1990/91,1990,1991,726.447,43586820.0,96092489.38650402
Malawi,April,1990/91,1990,1991,103.628,6217680.0,13707637.983424308
Papua New Guinea,April,1990/91,1990,1991,1012.841,60770460.0,133975930.85623056
Paraguay,April,1990/91,1990,1991,168.627,10117620.0,22305533.931282
Peru,April,1990/91,1990,1991,1003.632,60217920.0,132757788.67275356
Rwanda,April,1990/91,1990,1991,658.875,39532500.0,87154243.79828513
Timor-Leste,April,1990/91,1990,1991,0.0,0.0,0.0
Zimbabwe,April,1990/91,1990,1991,285.701,17142060.0,37791773.26111001
Congo,July,1990/91,1990,1991,0.924,55440.0,122224.278155364
Cuba,July,1990/91,1990,1991,177.912,10674720.0,23533729.193914633
Dominican Republic,July,1990/91,1990,1991,480.062,28803720.0,63501332.70543328
Haiti,July,1990/91,1990,1991,189.88,11392800.0,25116824.60621268
Philippines,July,1990/91,1990,1991,132.632,7957920.0,17544210.454872552
Tanzania,July,1990/91,1990,1991,969.726,58183560.0,128272792.59576678
Zambia,July,1990/91,1990,1991,22.186,1331160.0,2934705.449301846
Cameroon,October,1990/91,1990,1991,1857.184,111431040.0,245663391.56027222
Central African Republic,October,1990/91,1990,1991,143.274,8596440.0,18951906.091376215
Colombia,October,1990/91,1990,1991,12212.387,732743220.0,1615422278.8192115
Costa Rica,October,1990/91,1990,1991,2409.885,144593100.0,318773219.22341925
Côte d'Ivoire,October,1990/91,1990,1991,4334.363,260061780.0,573338083.2665778
Democratic Republic of Congo,October,1990/91,1990,1991,1479.296,88757760.0,195677365.56073305
El Salvador,October,1990/91,1990,1991,2017.564,121053840.0,266878034.1258104
Equatorial Guinea,October,1990/91,1990,1991,1.536,92160.0,203178.020829696
Ethiopia,October,1990/91,1990,1991,849.451,50967060.0,112363133.44518626
Gabon,October,1990/91,1990,1991,1.708,102480.0,225929.726287188
Ghana,October,1990/91,1990,1991,14.855,891300.0,1964980.142854905
Guatemala,October,1990/91,1990,1991,2802.972,168178320.0,370769728.7767283
Guinea,October,1990/91,1990,1991,54.46,3267600.0,7203824.87915706
Guyana,October,1990/91,1990,1991,0.3665,21990.0,48479.6514544815
Honduras,October,1990/91,1990,1991,1427.002,85620120.0,188760053.43751162
India,October,1990/91,1990,1991,1510.687,90641220.0,199829684.08408266
Jamaica,October,1990/91,1990,1991,15.574,934440.0,2060087.562761514
Kenya,October,1990/91,1990,1991,1649.401,98964060.0,218178405.4261207
Lao People's Democratic Republic,October,1990/91,1990,1991,98.333,5899980.0,13007229.376462564
Liberia,October,1990/91,1990,1991,0.0,0.0,0.0
Mexico,October,1990/91,1990,1991,3526.245,211574700.0,466442369.8311272
Nepal,October,1990/91,1990,1991,0.0355,2130.0,4695.8461845405
Nicaragua,October,1990/91,1990,1991,419.916,25194960.0,55545378.77260587
Nigeria,October,1990/91,1990,1991,1.69,101400.0,223548.73385559
Panama,October,1990/91,1990,1991,129.987,7799220.0,17194336.844784956
Sierra Leone,October,1990/91,1990,1991,86.783,5206980.0,11479425.899520513
Sri Lanka,October,1990/91,1990,1991,33.203,1992180.0,4392005.0947971335
Thailand,October,1990/91,1990,1991,433.017,25981020.0,57278344.43073729
Togo,October,1990/91,1990,1991,180.808,10848480.0,23916804.420687288
Trinidad & Tobago,October,1990/91,1990,1991,11.581,694860.0,1531904.075018691
Uganda,October,1990/91,1990,1991,2085.009,125100540.0,275799480.4896508
Venezuela,October,1990/91,1990,1991,132.087,7925220.0,17472119.295138057
Viet Nam,October,1990/91,1990,1991,1146.288,68777280.0,151627947.35731158
Yemen,October,1990/91,1990,1991,72.5002,4350012.000000001,9590134.860518964
Angola,April,1991/92,1991,1992,74.331,4459860.0,9832308.246283941
Bolivia (Plurinational State of),April,1991/92,1991,1992,82.936,4976160.0,10970554.905945096
Brazil,April,1991/92,1991,1992,21808.4934,1308509604.0,2884769873.8863854
Burundi,April,1991/92,1991,1992,762.491,45749460.0,100860294.4534217
Ecuador,April,1991/92,1991,1992,1471.617,88297020.0,194661607.73394188
Indonesia,April,1991/92,1991,1992,5584.196,335051760.0,738662689.5866569
Madagascar,April,1991/92,1991,1992,679.213,40752780.0,89844500.69127624
Malawi,April,1991/92,1991,1992,122.286,7337160.0,16175668.916132946
Papua New Guinea,April,1991/92,1991,1992,794.816,47688960.0,105136160.02849978
Paraguay,April,1991/92,1991,1992,84.653,5079180.0,11197675.128448084
Peru,April,1991/92,1991,1992,971.474,58288440.0,128504013.41634642
Rwanda,April,1991/92,1991,1992,481.83,28909800.0,63735199.07315913
Timor-Leste,April,1991/92,1991,1992,0.0,0.0,0.0
Zimbabwe,April,1991/92,1991,1992,213.594,12815640.0,28253649.857485734
Congo,July,1991/92,1991,1992,0.336,20160.0,44445.192056496
Cuba,July,1991/92,1991,1992,159.097,9545820.0,21044930.716108166
Dominican Republic,July,1991/92,1991,1992,340.56,20433600.0,45048376.80583416
Haiti,July,1991/92,1991,1992,133.352,8001120.0,17639450.15213647
Philippines,July,1991/92,1991,1992,58.482,3508920.0,7735844.410261902
Tanzania,July,1991/92,1991,1992,807.758,48465480.0,106848093.58681874
Zambia,July,1991/92,1991,1992,26.638,1598280.0,3523604.244050418
Cameroon,October,1991/92,1991,1992,1737.615,104256900.0,229847120.22395328
Central African Republic,October,1991/92,1991,1992,91.781,5506860.0,12140548.13136089
Colombia,October,1991/92,1991,1992,15466.866,928011960.0,2045916160.3633573
Costa Rica,October,1991/92,1991,1992,2275.274,136516440.0,300967231.8784282
Côte d'Ivoire,October,1991/92,1991,1992,3857.295,231437700.0,510232788.96893376
Democratic Republic of Congo,October,1991/92,1991,1992,1025.902,61554120.0,135703605.42006952
El Salvador,October,1991/92,1991,1992,2175.562,130533720.0,287777592.0262338
Equatorial Guinea,October,1991/92,1991,1992,4.551,273060.0,601994.253122361
Ethiopia,October,1991/92,1991,1992,668.664,40119840.0,88449106.84900251
Gabon,October,1991/92,1991,1992,1.63,97800.0,215612.09241693
Ghana,October,1991/92,1991,1992,26.306,1578360.0,3479688.161423166
Guatemala,October,1991/92,1991,1992,3287.771,197266260.0,434897659.32374376
Guinea,October,1991/92,1991,1992,65.522,3931320.0000000005,8667077.005731342
Guyana,October,1991/92,1991,1992,0.5097,30582.000000000004,67421.76902141671
Honduras,October,1991/92,1991,1992,1800.366,108021960.0,238147656.67257583
India,October,1991/92,1991,1992,2024.082,121444920.0,267740217.9407635
Jamaica,October,1991/92,1991,1992,19.987,1199220.0,2643827.540574957
Kenya,October,1991/92,1991,1992,1399.081,83944860.0,185066737.34403118
Lao People's Democratic Republic,October,1991/92,1991,1992,100.9707,6058242.0,13356137.361841789
Liberia,October,1991/92,1991,1992,0.0,0.0,0.0
Mexico,October,1991/92,1991,1992,3290.206,197412360.0,435219754.68879604
Nepal,October,1991/92,1991,1992,0.0037,222.0,489.4262220507
Nicaragua,October,1991/92,1991,1992,592.629,35557740.0,78391397.98586062
Nigeria,October,1991/92,1991,1992,8.563,513780.0,1132691.010654093
Panama,October,1991/92,1991,1992,104.7,6282000.0,13849439.3104617
Sierra Leone,October,1991/92,1991,1992,74.379,4462740.0,9838657.559434868
Sri Lanka,October,1991/92,1991,1992,19.549,1172940.0,2585890.058072739
Thailand,October,1991/92,1991,1992,1182.936,70976160.0,156475647.9480451
Togo,October,1991/92,1991,1992,316.152,18969120.0,41819751.06858727
Trinidad & Tobago,October,1991/92,1991,1992,1.999,119940.0,264422.437264689
Uganda,October,1991/92,1991,1992,2013.001,120780060.0,266274452.5444003
Venezuela,October,1991/92,1991,1992,112.679,6760740.0,14904880.34444617
Viet Nam,October,1991/92,1991,1992,1317.848,79070880.0,174321450.77758673
Yemen,October,1991/92,1991,1992,45.6585,2739510.0,6039585.718784293
Angola,April,1992/93,1992,1993,67.52,4051200.0,8931367.16563872
Bolivia (Plurinational State of),April,1992/93,1992,1993,100.935,6056100.0,13351415.060185784
Brazil,April,1992/93,1992,1993,16752.3542,1005141252.0000001,2215957142.313832
Burundi,April,1992/93,1992,1993,671.646,40298760.0,88843557.9285039
Ecuador,April,1992/93,1992,1993,1287.687,77261220.0,170331833.40372965
Indonesia,April,1992/93,1992,1993,5115.478,306928680.0,676661911.2225597
Madagascar,April,1992/93,1992,1993,719.651,43179060.0,95193532.46621846
Malawi,April,1992/93,1992,1993,129.161,7749660.0,17085075.74764607
Papua New Guinea,April,1992/93,1992,1993,943.111,56586660.0,124752230.73093452
Paraguay,April,1992/93,1992,1993,49.291,2957460.0,6520083.219216501
Peru,April,1992/93,1992,1993,1161.953,69717180.0,153700072.1595884
Rwanda,April,1992/93,1992,1993,641.875,38512500.0,84905528.72399813
Timor-Leste,April,1992/93,1992,1993,0.0,0.0,0.0
Zimbabwe,April,1992/93,1992,1993,114.581,6874860.0,15156471.87805169
Congo,July,1992/93,1992,1993,0.504,30240.0,66667.788084744
Cuba,July,1992/93,1992,1993,116.237,6974220.0,15375523.181758707
Dominican Republic,July,1992/93,1992,1993,421.815,25308900.0,55796573.47413947
Haiti,July,1992/93,1992,1993,169.855,10191300.0,22467970.526059907
Philippines,July,1992/93,1992,1993,21.851,1311060.0,2890392.534602661
Tanzania,July,1992/93,1992,1993,953.606,57216360.0,126140481.59591347
Zambia,July,1992/93,1992,1993,28.875,1732500.0,3819508.692355125
Cameroon,October,1992/93,1992,1993,927.402,55644120.0,122674285.72493602
Central African Republic,October,1992/93,1992,1993,155.845,9350700.0,20614764.750132795
Colombia,October,1992/93,1992,1993,14529.131,871747860.0,1921875052.7053268
Costa Rica,October,1992/93,1992,1993,2662.319,159739140.0,352164521.6388642
Côte d'Ivoire,October,1992/93,1992,1993,5114.536,306872160.0,676537305.9519727
Democratic Republic of Congo,October,1992/93,1992,1993,995.157,59709420.0,131636738.06954283
El Salvador,October,1992/93,1992,1993,2990.951,179457060.0,395635094.1266928
Equatorial Guinea,October,1992/93,1992,1993,1.686,101160.0,223019.624426346
Ethiopia,October,1992/93,1992,1993,1160.171,69610260.0,153464353.90886018
Gabon,October,1992/93,1992,1993,3.185,191100.0,421303.383035535
Ghana,October,1992/93,1992,1993,42.302,2538120.0,5595596.768969922
Guatemala,October,1992/93,1992,1993,4018.483,241108980.0,531554311.6391792
Guinea,October,1992/93,1992,1993,15.507,930420.0,2051224.979821677
Guyana,October,1992/93,1992,1993,0.1745,10470.0,23082.3988507695
Honduras,October,1992/93,1992,1993,1896.551,113793060.0,250870754.28553435
India,October,1992/93,1992,1993,1817.497,109049820.0,240413700.08067057
Jamaica,October,1992/93,1992,1993,26.313,1578780.0,3480614.102924343
Kenya,October,1992/93,1992,1993,1411.908,84714480.0,186763459.00625938
Lao People's Democratic Republic,October,1992/93,1992,1993,131.7127,7902762.000000001,17422607.88029655
Liberia,October,1992/93,1992,1993,0.0,0.0,0.0
Mexico,October,1992/93,1992,1993,2884.561,173073660.0,381562106.08237547
Nepal,October,1992/93,1992,1993,0.0516,3096.0,6825.5116372476
Nicaragua,October,1992/93,1992,1993,516.694,31001639.999999996,68346916.85844983
Nigeria,October,1992/93,1992,1993,13.132,787920.0,1737066.256208052
Panama,October,1992/93,1992,1993,149.81,8988600.0,19816470.89876091
Sierra Leone,October,1992/93,1992,1993,43.084,2585040.0,5699037.662387124
Sri Lanka,October,1992/93,1992,1993,7.181,430860.0,949883.702850291
Thailand,October,1992/93,1992,1993,1041.945,62516699.99999999,137825731.06340986
Togo,October,1992/93,1992,1993,213.648,12818880.0,28260792.83478053
Trinidad & Tobago,October,1992/93,1992,1993,4.621,277260.0,611253.668134131
Uganda,October,1992/93,1992,1993,2010.074,120604440.0,265887276.71955103
Venezuela,October,1992/93,1992,1993,478.873,28732380.0,63344054.927590504
Viet Nam,October,1992/93,1992,1993,2175.447,130526820.0,287762380.13014305
Yemen,October,1992/93,1992,1993,47.387,2843220.0,6268227.130896357
Angola,April,1993/94,1993,1994,27.608,1656480.0,3651913.280642088
Bolivia (Plurinational State of),April,1993/94,1993,1994,36.523,2191380.0,4831165.921069653
Brazil,April,1993/94,1993,1994,18760.9786,1125658715.9999998,2481652669.776224
Burundi,April,1993/94,1993,1994,352.87,21172200.0,46676711.07433257
Ecuador,April,1993/94,1993,1994,1589.007,95340420.0,210189646.70868018
Indonesia,April,1993/94,1993,1994,5302.288,318137280.0,701372644.3418276
Madagascar,April,1993/94,1993,1994,521.359,31281540.000000004,68963990.73030566
Malawi,April,1993/94,1993,1994,75.111,4506660.0,9935484.58498652
Papua New Guinea,April,1993/94,1993,1994,1028.481,61708860.0,136044748.7245746
Paraguay,April,1993/94,1993,1994,51.5275,3091650.0,6815921.528842553
Peru,April,1993/94,1993,1994,845.497,50729820.0,111840108.77437857
Rwanda,April,1993/94,1993,1994,447.425,26845500.0,59184196.59487417
Timor-Leste,April,1993/94,1993,1994,0.0,0.0,0.0
Zimbabwe,April,1993/94,1993,1994,56.51,3390600.0,7474993.46164461
Congo,July,1993/94,1993,1994,0.0,0.0,0.0
Cuba,July,1993/94,1993,1994,132.304,7938240.0,17500823.481674545
Dominican Republic,July,1993/94,1993,1994,286.944,17216640.0,37956194.016247585
Haiti,July,1993/94,1993,1994,120.697,7241820.0,15965480.195365768
Philippines,July,1993/94,1993,1994,98.855,5931300.0,13076278.156978905
