country,harvest_group,crop_year,crop_year_beg,crop_year_end,openstock_1k_bags,openstock_kg,openstock_lb
Angola,April,1990/91,1990,1991,210.0,12600000.0,27778245.03531
Bolivia (Plurinational State of),April,1990/91,1990,1991,54.0,3240000.0,7142977.294794
Brazil,April,1990/91,1990,1991,26926.0,1615560000.0,3561700122.955986
Burundi,April,1990/91,1990,1991,77.0,4620000.0,10185356.512947
Ecuador,April,1990/91,1990,1991,723.963,43437780.0,95763912.43094349
Indonesia,April,1990/91,1990,1991,1319.0,79140000.0,174473834.29320902
Madagascar,April,1990/91,1990,1991,544.0,32640000.0,71958882.377184
Malawi,April,1990/91,1990,1991,20.0,1200000.0,2645547.14622
Papua New Guinea,April,1990/91,1990,1991,199.0,11940000.0,26323194.104889
Paraguay,April,1990/91,1990,1991,188.0,11280000.0,24868143.174468
Peru,April,1990/91,1990,1991,318.0,19080000.0,42064199.624898
Rwanda,April,1990/91,1990,1991,134.0,8040000.0,17725165.879674
Timor-Leste,April,1990/91,1990,1991,0.0,0.0,0.0
Zimbabwe,April,1990/91,1990,1991,160.0,9600000.0,21164377.16976
Congo,July,1990/91,1990,1991,12.0,720000.0,1587328.287732
Cuba,July,1990/91,1990,1991,265.7,15942000.0,35146093.8375327
Dominican Republic,July,1990/91,1990,1991,560.0,33600000.0,74075320.09416
Haiti,July,1990/91,1990,1991,47.0,2820000.0,6217035.793617
Philippines,July,1990/91,1990,1991,1223.0,73380000.0,161775207.991353
Tanzania,July,1990/91,1990,1991,450.0,27000000.0,59524810.78995
Zambia,July,1990/91,1990,1991,1.0,60000.0,132277.357311
Cameroon,October,1990/91,1990,1991,1344.0,80640000.0,177780768.225984
Central African Republic,October,1990/91,1990,1991,55.0,3300000.0,7275254.652105
Colombia,October,1990/91,1990,1991,3720.797,223247820.0,492177194.2506969
Costa Rica,October,1990/91,1990,1991,343.0,20580000.0,45371133.557673
Côte d'Ivoire,October,1990/91,1990,1991,4796.0,287760000.0,634402205.663556
Democratic Republic of Congo,October,1990/91,1990,1991,116.0,6960000.0,15344173.448076
El Salvador,October,1990/91,1990,1991,245.0,14700000.0,32407952.541195
Equatorial Guinea,October,1990/91,1990,1991,2.0,120000.0,264554.714622
Ethiopia,October,1990/91,1990,1991,2800.0,168000000.0,370376600.4708
Gabon,October,1990/91,1990,1991,2.0,120000.0,264554.714622
Ghana,October,1990/91,1990,1991,4.0,240000.0,529109.429244
Guatemala,October,1990/91,1990,1991,77.0,4620000.0,10185356.512947
Guinea,October,1990/91,1990,1991,45.0,2700000.0,5952481.078995
Guyana,October,1990/91,1990,1991,0.0,0.0,0.0
Honduras,October,1990/91,1990,1991,101.198,6071880.0,13386204.005158579
India,October,1990/91,1990,1991,842.0,50520000.0,111377534.855862
Jamaica,October,1990/91,1990,1991,0.0,0.0,0.0
Kenya,October,1990/91,1990,1991,766.333,45979980.0,101368504.06021057
Lao People's Democratic Republic,October,1990/91,1990,1991,0.0,0.0,0.0
Liberia,October,1990/91,1990,1991,0.0,0.0,0.0
Mexico,October,1990/91,1990,1991,974.0,58440000.0,128838146.020914
Nepal,October,1990/91,1990,1991,0.0,0.0,0.0
Nicaragua,October,1990/91,1990,1991,56.0,3360000.0,7407532.009416
Nigeria,October,1990/91,1990,1991,0.0,0.0,0.0
Panama,October,1990/91,1990,1991,18.0,1080000.0,2380992.431598
Sierra Leone,October,1990/91,1990,1991,127.0,7620000.0,16799224.378497
Sri Lanka,October,1990/91,1990,1991,10.0,600000.0,1322773.57311
Thailand,October,1990/91,1990,1991,71.0,4260000.0,9391692.369081
Togo,October,1990/91,1990,1991,59.0,3540000.0,7804364.081349
Trinidad & Tobago,October,1990/91,1990,1991,5.0,300000.0,661386.786555
Uganda,October,1990/91,1990,1991,3100.0,186000000.0,410059807.6641
Venezuela,October,1990/91,1990,1991,142.0,8520000.0,18783384.738162
Viet Nam,October,1990/91,1990,1991,181.0,10860000.0,23942201.673291
Yemen,October,1990/91,1990,1991,0.0,0.0,0.0
Angola,April,1991/92,1991,1992,161.0,9660000.0,21296654.527071
Bolivia (Plurinational State of),April,1991/92,1991,1992,39.8,2388000.0,5264638.8209778
Brazil,April,1991/92,1991,1992,25548.0,1532880000.0,3379421924.581428
Burundi,April,1991/92,1991,1992,150.0,9000000.0,19841603.59665
Ecuador,April,1991/92,1991,1992,250.0,15000000.0,33069339.32775
Indonesia,April,1991/92,1991,1992,798.0,47880000.0,105557331.134178
Madagascar,April,1991/92,1991,1992,450.0,27000000.0,59524810.78995
Malawi,April,1991/92,1991,1992,19.0,1140000.0,2513269.788909
Papua New Guinea,April,1991/92,1991,1992,146.0,8760000.0,19312494.167406
Paraguay,April,1991/92,1991,1992,135.0,8100000.0,17857443.236985
Peru,April,1991/92,1991,1992,61.0,3660000.0,8068918.795971
Rwanda,April,1991/92,1991,1992,9.0,540000.0,1190496.215799
Timor-Leste,April,1991/92,1991,1992,0.0,0.0,0.0
Zimbabwe,April,1991/92,1991,1992,118.2,7092000.0,15635183.6341602
Congo,July,1991/92,1991,1992,11.0,660000.0,1455050.930421
Cuba,July,1991/92,1991,1992,289.0,17340000.0,38228156.262879
Dominican Republic,July,1991/92,1991,1992,640.0,38400000.0,84657508.67904
Haiti,July,1991/92,1991,1992,30.0,1800000.0,3968320.71933
Philippines,July,1991/92,1991,1992,1344.0,80640000.0,177780768.225984
Tanzania,July,1991/92,1991,1992,408.053,24483180.0,53976172.48282548
Zambia,July,1991/92,1991,1992,0.0,0.0,0.0
Cameroon,October,1991/92,1991,1992,1086.0,65160000.0,143653210.039746
Central African Republic,October,1991/92,1991,1992,59.0,3540000.0,7804364.081349
Colombia,October,1991/92,1991,1992,4669.41,280164600.0,617657215.0015565
Costa Rica,October,1991/92,1991,1992,120.0,7200000.0,15873282.87732
Côte d'Ivoire,October,1991/92,1991,1992,3352.0,201120000.0,443393701.706472
Democratic Republic of Congo,October,1991/92,1991,1992,17.0,1020000.0,2248715.074287
El Salvador,October,1991/92,1991,1992,512.3,30737999.999999996,67765690.15042529
Equatorial Guinea,October,1991/92,1991,1992,4.0,240000.0,529109.429244
Ethiopia,October,1991/92,1991,1992,3660.0,219600000.0,484135127.75826
Gabon,October,1991/92,1991,1992,2.0,120000.0,264554.714622
Ghana,October,1991/92,1991,1992,10.0,600000.0,1322773.57311
Guatemala,October,1991/92,1991,1992,244.557,14673420.0,32349353.67190623
Guinea,October,1991/92,1991,1992,10.0,600000.0,1322773.57311
Guyana,October,1991/92,1991,1992,0.0,0.0,0.0
Honduras,October,1991/92,1991,1992,54.0,3240000.0,7142977.294794
India,October,1991/92,1991,1992,1257.0,75420000.0,166272638.139927
Jamaica,October,1991/92,1991,1992,0.0,0.0,0.0
Kenya,October,1991/92,1991,1992,552.067,33124020.0,73025963.81861183
Lao People's Democratic Republic,October,1991/92,1991,1992,0.0,0.0,0.0
Liberia,October,1991/92,1991,1992,0.0,0.0,0.0
Mexico,October,1991/92,1991,1992,748.0,44880000.0,98943463.268628
Nepal,October,1991/92,1991,1992,0.0,0.0,0.0
Nicaragua,October,1991/92,1991,1992,63.162,3789720.0,8354902.442477382
Nigeria,October,1991/92,1991,1992,0.0,0.0,0.0
Panama,October,1991/92,1991,1992,40.0,2400000.0,5291094.29244
Sierra Leone,October,1991/92,1991,1992,74.0,4440000.0,9788524.441014
Sri Lanka,October,1991/92,1991,1992,6.0,360000.0,793664.143866
Thailand,October,1991/92,1991,1992,207.0,12420000.0,27381412.963377
Togo,October,1991/92,1991,1992,38.5,2310000.0,5092678.2564735
Trinidad & Tobago,October,1991/92,1991,1992,0.0,0.0,0.0
Uganda,October,1991/92,1991,1992,2900.0,174000000.0,383604336.2019
Venezuela,October,1991/92,1991,1992,350.0,21000000.0,46297075.05885
Viet Nam,October,1991/92,1991,1992,195.0,11700000.0,25794084.675645
Yemen,October,1991/92,1991,1992,0.0,0.0,0.0
Angola,April,1992/93,1992,1993,136.0,8160000.0,17989720.594296
Bolivia (Plurinational State of),April,1992/93,1992,1993,33.4,2004000.0,4418063.7341874
Brazil,April,1992/93,1992,1993,22625.0,1357500000.0,2992775209.161375
Burundi,April,1992/93,1992,1993,53.108,3186480.0,7024985.892072588
Ecuador,April,1992/93,1992,1993,552.207,33132420.0,73044482.64863537
Indonesia,April,1992/93,1992,1993,2427.0,145620000.0,321037146.193797
Madagascar,April,1992/93,1992,1993,403.3,24198000.0,53347458.2035263
Malawi,April,1992/93,1992,1993,19.0,1140000.0,2513269.788909
Papua New Guinea,April,1992/93,1992,1993,95.0,5700000.0,12566348.944545
Paraguay,April,1992/93,1992,1993,115.0,6900000.0,15211896.090765
Peru,April,1992/93,1992,1993,100.0,6000000.0,13227735.7311
Rwanda,April,1992/93,1992,1993,10.0,600000.0,1322773.57311
Timor-Leste,April,1992/93,1992,1993,0.0,0.0,0.0
Zimbabwe,April,1992/93,1992,1993,98.0,5880000.0,12963181.016478
Congo,July,1992/93,1992,1993,11.0,660000.0,1455050.930421
Cuba,July,1992/93,1992,1993,219.0,13140000.0,28968741.251109
Dominican Republic,July,1992/93,1992,1993,300.0,18000000.0,39683207.1933
Haiti,July,1992/93,1992,1993,30.0,1800000.0,3968320.71933
Philippines,July,1992/93,1992,1993,1554.0,93240000.0,205559013.261294
Tanzania,July,1992/93,1992,1993,386.772,23206320.0,51161178.04189009
Zambia,July,1992/93,1992,1993,1.0,60000.0,132277.357311
Cameroon,October,1992/93,1992,1993,991.0,59460000.0,131086861.095201
Central African Republic,October,1992/93,1992,1993,64.0,3840000.0,8465750.867904
Colombia,October,1992/93,1992,1993,5913.941,354836460.0,782280486.7731726
Costa Rica,October,1992/93,1992,1993,229.345,13760700.0,30337150.512491297
Côte d'Ivoire,October,1992/93,1992,1993,3574.0,214440000.0,472759275.029514
Democratic Republic of Congo,October,1992/93,1992,1993,21.0,1260000.0,2777824.503531
El Salvador,October,1992/93,1992,1993,354.43,21265800.0,46883063.75173773
Equatorial Guinea,October,1992/93,1992,1993,2.0,120000.0,264554.714622
Ethiopia,October,1992/93,1992,1993,4652.0,279120000.0,615354266.210772
Gabon,October,1992/93,1992,1993,1.122,67320.0,148415.194902942
Ghana,October,1992/93,1992,1993,43.0,2580000.0,5687926.364373
Guatemala,October,1992/93,1992,1993,153.317,9199020.0,20280367.590850588
Guinea,October,1992/93,1992,1993,10.0,600000.0,1322773.57311
Guyana,October,1992/93,1992,1993,0.0,0.0,0.0
Honduras,October,1992/93,1992,1993,318.342,19100520.0,42109438.48109836
India,October,1992/93,1992,1993,1316.0,78960000.0,174077002.22127602
Jamaica,October,1992/93,1992,1993,8.0,480000.0,1058218.858488
Kenya,October,1992/93,1992,1993,617.033,37021980.0,81619494.61367826
Lao People's Democratic Republic,October,1992/93,1992,1993,0.0,0.0,0.0
Liberia,October,1992/93,1992,1993,0.0,0.0,0.0
Mexico,October,1992/93,1992,1993,985.0,59100000.0,130293196.951335
Nepal,October,1992/93,1992,1993,0.0,0.0,0.0
Nicaragua,October,1992/93,1992,1993,39.6,2376000.0,5238183.3495156
Nigeria,October,1992/93,1992,1993,0.0,0.0,0.0
Panama,October,1992/93,1992,1993,60.832,3649920.0,8046696.199942752
Sierra Leone,October,1992/93,1992,1993,45.0,2700000.0,5952481.078995
Sri Lanka,October,1992/93,1992,1993,1.0,60000.0,132277.357311
Thailand,October,1992/93,1992,1993,273.0,16380000.0,36111718.545903
Togo,October,1992/93,1992,1993,154.0,9240000.0,20370713.025894
Trinidad & Tobago,October,1992/93,1992,1993,4.293,257580.0,567866.694936123
Uganda,October,1992/93,1992,1993,2900.0,174000000.0,383604336.2019
Venezuela,October,1992/93,1992,1993,362.545,21752700.0,47956494.5063165
Viet Nam,October,1992/93,1992,1993,85.0,5100000.0,11243575.371435
Yemen,October,1992/93,1992,1993,0.0,0.0,0.0
