region,country,ico_member,calendar_year,imports_1k_bags,imports_kg,imports_lb
Europe,Austria,member,1990.0,1879.7170038,112783020.22799999,248643997.7552149
Europe,Belgium,member,1990.0,1889.1618075785245,113349708.45471147,249893331.4393591
Europe,Bulgaria,member,1990.0,268.1829982,16090979.891999999,35474538.27763667
Europe,Croatia,member,1990.0,,,
Europe,Cyprus,member,1990.0,49.853999,2991239.9400000004,6594555.239105238
Europe,Czechia,member,1990.0,659.433,39565980.0,87228054.56366466
Europe,Denmark,member,1990.0,959.1050037,57546300.222,126867875.27319288
Europe,Estonia,member,1990.0,,,
Europe,Finland,member,1990.0,1095.1409982,65708459.892000005,144862357.1248266
Europe,France,member,1990.0,6301.2210348,378073262.088,833508866.3158288
Europe,Germany,member,1990.0,13670.9460046,820256760.276,1808356609.429862
Europe,Greece,member,1990.0,641.9630004,38517780.024000004,84917169.18435244
Europe,Hungary,member,1990.0,573.974,34438440.0,75923763.88522391
Europe,Ireland,member,1990.0,129.4770008,7768620.048,17126875.498378232
Europe,Italy,member,1990.0,5241.8309999,314509859.994,693375552.1376487
Europe,Latvia,member,1990.0,,,
Europe,Lithuania,member,1990.0,,,
Europe,Luxembourg,member,1990.0,125.79220972147552,7547532.583288531,16639461.072267864
Europe,Malta,member,1990.0,20.7139989,1242839.934,2739993.033834961
Europe,Netherlands,member,1990.0,3128.1500184,187689001.104,413783417.706308
Europe,Poland,member,1990.0,435.0650014,26103900.084,57549248.64369851
Europe,Portugal,member,1990.0,551.5890006,33095340.035999995,72962735.32118358
Europe,Romania,member,1990.0,441.5340034,26492040.204000004,58404951.1326981
Europe,Slovakia,member,1990.0,0.0,0.0,0.0
Europe,Slovenia,member,1990.0,0.0,0.0,0.0
Europe,Spain,member,1990.0,3053.2510005,183195060.03,403875973.55330676
Europe,Sweden,member,1990.0,1766.6740031,106000440.18599999,233690968.3601134
Asia & Oceania,Japan,member,1990.0,5329.7500039,319785000.23399997,705005245.6441839
Europe,Norway,member,1990.0,742.0400021,44522400.126,98155090.4968369
Europe,Russian Federation,member,1990.0,0.0,0.0,0.0
Europe,Switzerland,member,1990.0,1170.5080015,70230480.09,154831705.14980003
Africa,Tunisia,member,1990.0,100.999998,6059999.880000001,13360012.823856287
Europe,United Kingdom,member,1990.0,2898.2980084,173897880.504,383379201.2508865
North America,United States of America,member,1990.0,21006.7860098,1260407160.5879998,2778722138.97403
Europe,Austria,member,1991.0,2058.2710046,123496260.27600001,272262649.11834514
Europe,Belgium,member,1991.0,1637.2093778916267,98232562.6734976,216565729.87229073
Europe,Bulgaria,member,1991.0,200.2200014,12013200.084,26484572.665996723
Europe,Croatia,member,1991.0,,,
Europe,Cyprus,member,1991.0,53.9259999,3235559.994,7133188.75712525
Europe,Czechia,member,1991.0,525.274,31516440.0,69481856.58417821
Europe,Denmark,member,1991.0,982.7570044,58965420.264,129996499.4209068
Europe,Estonia,member,1991.0,,,
Europe,Finland,member,1991.0,1033.0669994,61984019.964,136651372.60583642
Europe,France,member,1991.0,6552.7090407,393162542.442,866775035.1316938
Europe,Germany,member,1991.0,13228.8510044,793731060.2639999,1749877451.123
Europe,Greece,member,1991.0,407.0270007,24421620.042,53840456.00681855
Europe,Hungary,member,1991.0,640.9870026,38459220.156,84788066.77462709
Europe,Ireland,member,1991.0,118.2670007,7096020.042,15644046.309694188
Europe,Italy,member,1991.0,4630.0230003,277801380.01799995,612447206.7688313
Europe,Latvia,member,1991.0,,,
Europe,Lithuania,member,1991.0,,,
Europe,Luxembourg,member,1991.0,109.01564100837325,6540938.4605023945,14420300.898152292
Europe,Malta,member,1991.0,16.0740031,964440.1859999999,2126226.6514768214
Europe,Netherlands,member,1991.0,3120.7740193,187246441.158,412807740.0378317
Europe,Poland,member,1991.0,249.8710028,14992260.168000001,33052275.919033486
Europe,Portugal,member,1991.0,557.4690006,33448140.035999995,73740526.18217227
Europe,Romania,member,1991.0,335.4500121,20127000.726,44372441.11053097
Europe,Slovakia,member,1991.0,0.0,0.0,0.0
Europe,Slovenia,member,1991.0,0.0,0.0,0.0
Europe,Spain,member,1991.0,2969.5430003,178172580.018,392803300.5010621
Europe,Sweden,member,1991.0,1717.0869997,103025219.98200001,227131730.59338987
Asia & Oceania,Japan,member,1991.0,5510.469001,330628140.06,728910276.9964663
Europe,Norway,member,1991.0,761.2149993,45672899.958000004,100691508.45289873
Europe,Russian Federation,member,1991.0,0.0,0.0,0.0
Europe,Switzerland,member,1991.0,1130.2920016,67817520.096,149512038.9614086
Africa,Tunisia,member,1991.0,90.2010012,5412060.072,11931550.065542338
Europe,United Kingdom,member,1991.0,2805.9140049,168354840.29399997,371158889.4100962
North America,United States of America,member,1991.0,19839.6300126,1190377800.7559998,2624333828.0947294
Europe,Austria,member,1992.0,2206.416005,132384960.3,291858878.27009416
Europe,Belgium,member,1992.0,1713.739523505998,102824371.41035989,226688935.28878582
Europe,Bulgaria,member,1992.0,182.2310123,10933860.738,24105036.727152336
Europe,Croatia,member,1992.0,168.1900054,10091400.324,22247729.440434817
Europe,Cyprus,member,1992.0,40.8759994,2452559.964,5406969.178078022
Europe,Czechia,member,1992.0,474.7310027,28483860.161999997,62796162.4707572
Europe,Denmark,member,1992.0,1061.6230043,63697380.25800001,140428685.4693684
Europe,Estonia,member,1992.0,16.3780004,982680.0240000001,2166438.610950501
Europe,Finland,member,1992.0,1055.3610004,63321660.024000004,139600364.14200523
Europe,France,member,1992.0,6612.0560409,396723362.454,874625299.4824853
Europe,Germany,member,1992.0,13788.5540061,827313240.3659999,1823913485.06691
Europe,Greece,member,1992.0,348.9230017,20935380.101999998,46154612.569897555
Europe,Hungary,member,1992.0,522.2479992,31334879.952,69081585.19513324
