calendar_year,calendar_month,indicator_name,indicator_price_cents_per_lb,indicator_price_dollars_per_lb,indicator_price_cents_per_lb_ann,indicator_price_dollars_per_lb_ann
1990,January,ico_composite_indicator,62.75,0.6275,71.53,0.7153
1990,February,ico_composite_indicator,67.01,0.6701,71.53,0.7153
1990,March,ico_composite_indicator,75.25,0.7525,71.53,0.7153
1990,April,ico_composite_indicator,75.34,0.7534000000000001,71.53,0.7153
1990,May,ico_composite_indicator,73.3,0.733,71.53,0.7153
1990,June,ico_composite_indicator,69.91,0.6990999999999999,71.53,0.7153
1990,July,ico_composite_indicator,68.36,0.6836,71.53,0.7153
1990,August,ico_composite_indicator,74.1,0.741,71.53,0.7153
1990,September,ico_composite_indicator,75.55,0.7555,71.53,0.7153
1990,October,ico_composite_indicator,73.89,0.7389,71.53,0.7153
1990,November,ico_composite_indicator,70.1,0.701,71.53,0.7153
1990,December,ico_composite_indicator,72.83,0.7283,71.53,0.7153
1991,January,ico_composite_indicator,69.38,0.6938,66.8,0.6679999999999999
1991,February,ico_composite_indicator,70.55,0.7055,66.8,0.6679999999999999
1991,March,ico_composite_indicator,72.47,0.7247,66.8,0.6679999999999999
1991,April,ico_composite_indicator,71.45,0.7145,66.8,0.6679999999999999
1991,May,ico_composite_indicator,67.47,0.6747,66.8,0.6679999999999999
1991,June,ico_composite_indicator,65.58,0.6557999999999999,66.8,0.6679999999999999
1991,July,ico_composite_indicator,64.31,0.6431,66.8,0.6679999999999999
1991,August,ico_composite_indicator,63.34,0.6334000000000001,66.8,0.6679999999999999
1991,September,ico_composite_indicator,66.86,0.6686,66.8,0.6679999999999999
1991,October,ico_composite_indicator,62.83,0.6283,66.8,0.6679999999999999
1991,November,ico_composite_indicator,64.3,0.643,66.8,0.6679999999999999
1991,December,ico_composite_indicator,63.07,0.6307,66.8,0.6679999999999999
1992,January,ico_composite_indicator,61.12,0.6112,53.35,0.5335
1992,February,ico_composite_indicator,55.51,0.5550999999999999,53.35,0.5335
1992,March,ico_composite_indicator,56.48,0.5648,53.35,0.5335
1992,April,ico_composite_indicator,53.64,0.5364,53.35,0.5335
1992,May,ico_composite_indicator,49.27,0.4927,53.35,0.5335
1992,June,ico_composite_indicator,48.13,0.4813,53.35,0.5335
1992,July,ico_composite_indicator,48.7,0.48700000000000004,53.35,0.5335
1992,August,ico_composite_indicator,45.89,0.45890000000000003,53.35,0.5335
