region,country,ico_member,calendar_year,re_exports_1k_bags,re_exports_kg,re_exports_lb
Europe,Austria,member,1990.0,414.5930184,24875581.104,54841268.833542794
Europe,Belgium,member,1990.0,863.3113849305349,51798683.095832095,114196548.53511062
Europe,Bulgaria,member,1990.0,166.4,9984000.0,22010952.2565504
Europe,Croatia,member,1990.0,,,
Europe,Cyprus,member,1990.0,16.2829999,976979.9940000001,2153872.195867277
Europe,Czechia,member,1990.0,,,
Europe,Denmark,member,1990.0,93.9660043,5637960.258,12429574.725878064
Europe,Estonia,member,1990.0,,,
Europe,Finland,member,1990.0,18.7060002,1122360.0119999999,2474380.272315037
Europe,France,member,1990.0,912.5820053,54754920.317999996,120713935.99065699
Europe,Germany,member,1990.0,3291.6890439,197501342.634,435415927.8166643
Europe,Greece,member,1990.0,11.1669961,670019.7660000001,1477140.7332102438
Europe,Hungary,member,1990.0,,,
Europe,Ireland,member,1990.0,9.5920001,575520.0059999999,1268804.4245548476
Europe,Italy,member,1990.0,382.5370134,22952220.804,50600985.2061946
Europe,Latvia,member,1990.0,,,
Europe,Lithuania,member,1990.0,,,
Europe,Luxembourg,member,1990.0,27.532648769465027,1651958.9261679016,3641946.01899679
Europe,Malta,member,1990.0,1.1010004,66060.02399999999,145637.42331035392
Europe,Netherlands,member,1990.0,585.3970074,35123820.444,77434769.11663991
Europe,Poland,member,1990.0,100.473,6028380.0,13290302.921108102
Europe,Portugal,member,1990.0,30.570001,1834200.06,4043718.9452746273
Europe,Romania,member,1990.0,,,
Europe,Slovakia,member,1990.0,,,
Europe,Slovenia,member,1990.0,,,
Europe,Spain,member,1990.0,264.5380003,15872280.018000001,34992387.588020526
Europe,Sweden,member,1990.0,77.3320034,4639920.204,10229273.045317266
Asia & Oceania,Japan,member,1990.0,19.9019995,1194119.97,2632583.899064843
Europe,Norway,member,1990.0,8.3759998,502559.98800000007,1107955.1183814646
Europe,Russian Federation,member,1990.0,,,
Europe,Switzerland,member,1990.0,166.028998,9961739.879999999,21961877.092433304
Africa,Tunisia,member,1990.0,,,
Europe,United Kingdom,member,1990.0,482.210998,28932659.880000003,63785596.481739916
North America,United States of America,member,1990.0,825.1680085,49510080.51,109151043.50196078
Europe,Austria,member,1991.0,756.1850347,45371102.081999995,100026158.02824283
Europe,Belgium,member,1991.0,1005.9852482584063,60359114.89550438,133069070.13347225
Europe,Bulgaria,member,1991.0,183.459,11007540.0,24267471.694918748
Europe,Croatia,member,1991.0,,,
Europe,Cyprus,member,1991.0,7.2290003,433740.018,956233.0556844262
Europe,Czechia,member,1991.0,,,
Europe,Denmark,member,1991.0,74.2150035,4452900.209999999,9816964.535806613
Europe,Estonia,member,1991.0,,,
Europe,Finland,member,1991.0,20.513,1230780.0,2713405.430520543
Europe,France,member,1991.0,1006.871008,60412260.48,133186236.09130274
Europe,Germany,member,1991.0,3251.635055,195098103.3,430117692.0152082
Europe,Greece,member,1991.0,20.0849946,1205099.6760000002,2656790.007293706
Europe,Hungary,member,1991.0,260.7590059,15645540.353999998,34492512.19549546
Europe,Ireland,member,1991.0,5.3009998,318059.98799999995,701202.2446501395
Europe,Italy,member,1991.0,401.9830164,24118980.984,53173251.09329638
Europe,Latvia,member,1991.0,,,
Europe,Lithuania,member,1991.0,,,
Europe,Luxembourg,member,1991.0,32.082790741593676,1924967.4444956204,4243826.77445983
Europe,Malta,member,1991.0,3.1290007,187740.04200000002,413895.9436202691
Europe,Netherlands,member,1991.0,633.1130082,37986780.492,83746515.60391347
Europe,Poland,member,1991.0,6.8470007,410820.04199999996,905703.1581025671
Europe,Portugal,member,1991.0,34.080001,2044800.0600000003,4508012.469436238
Europe,Romania,member,1991.0,0.033,1980.0,4365.152791263
Europe,Slovakia,member,1991.0,,,
Europe,Slovenia,member,1991.0,,,
Europe,Spain,member,1991.0,268.2749995,16096499.969999999,35486707.96646985
Europe,Sweden,member,1991.0,113.5300056,6811800.335999999,15017449.11627103
Asia & Oceania,Japan,member,1991.0,34.4949989,2069699.934,4562907.294937852
Europe,Norway,member,1991.0,3.5619996,213719.976,471171.8938308391
Europe,Russian Federation,member,1991.0,,,
Europe,Switzerland,member,1991.0,151.4020009,9084120.054,20027056.570649642
Africa,Tunisia,member,1991.0,,,
Europe,United Kingdom,member,1991.0,485.1740014,29110440.084,64177534.74119541
North America,United States of America,member,1991.0,1010.4500115,60627000.69,133659657.21608956
Europe,Austria,member,1992.0,960.0820413,57604922.478,126997115.22491436
Europe,Belgium,member,1992.0,1096.5082973470878,65790497.840825275,145043219.84265697
Europe,Bulgaria,member,1992.0,7.3530002,441180.01200000005,972635.4347632546
