country,harvest_group,crop_year,crop_year_beg,crop_year_end,production_1k_bags,production_kg,production_lb
Angola,April,1990/91,1990,1991,50.345,3020700.0,6659503.553822295
Bolivia (Plurinational State of),April,1990/91,1990,1991,122.777,7366620.0,16240617.098572647
Brazil,April,1990/91,1990,1991,27285.6286,1637137716.0,3609270843.7774405
Burundi,April,1990/91,1990,1991,487.393,29243580.0,64471058.01188023
Ecuador,April,1990/91,1990,1991,1503.815,90228900.0,198920674.08464146
Indonesia,April,1990/91,1990,1991,7441.383,446482980.0,984326477.9790012
Madagascar,April,1990/91,1990,1991,982.447,58946820.0,129955492.85812002
Malawi,April,1990/91,1990,1991,104.628,6277680.0,13839915.340735309
Papua New Guinea,April,1990/91,1990,1991,962.841,57770460.0,127362062.99068055
Paraguay,April,1990/91,1990,1991,130.627,7837620.000000001,17278994.353464
Peru,April,1990/91,1990,1991,936.632,56197920.0,123895205.73291655
Rwanda,April,1990/91,1990,1991,534.875,32092500.0,70751851.49172112
Timor-Leste,April,1990/91,1990,1991,0.0,0.0,0.0
Zimbabwe,April,1990/91,1990,1991,251.901,15114060.0,33320798.58399821
Congo,July,1990/91,1990,1991,2.924,175440.0,386778.992777364
Cuba,July,1990/91,1990,1991,414.212,24852720.0,54790868.72650393
Dominican Republic,July,1990/91,1990,1991,880.062,52803720.0,116412275.62983328
Haiti,July,1990/91,1990,1991,392.88,23572800.0,51969128.14034568
Philippines,July,1990/91,1990,1991,973.632,58417920.0,128789467.95342356
Tanzania,July,1990/91,1990,1991,931.779,55906740.0,123253263.71788627
Zambia,July,1990/91,1990,1991,22.686,1361160.0,3000844.127957346
Cameroon,October,1990/91,1990,1991,1682.484,100949040.0,222554537.23804054
Central African Republic,October,1990/91,1990,1991,175.274,10516440.0,23184781.525328215
Colombia,October,1990/91,1990,1991,14396.0,863760000.0,1904264835.849156
Costa Rica,October,1990/91,1990,1991,2561.885,153713100.0,338879377.5346912
Côte d'Ivoire,October,1990/91,1990,1991,2940.363,176421780.0,388943447.1750439
Democratic Republic of Congo,October,1990/91,1990,1991,1580.296,94817760.0,209037378.64914405
El Salvador,October,1990/91,1990,1991,2464.864,147891840.0,326045696.0510207
Equatorial Guinea,October,1990/91,1990,1991,3.536,212160.0,467732.73545169603
Ethiopia,October,1990/91,1990,1991,2909.451,174567060.0,384854489.50584626
Gabon,October,1990/91,1990,1991,3.408,204480.0,450801.233715888
Ghana,October,1990/91,1990,1991,37.855,2271300.0,5007359.361007905
Guatemala,October,1990/91,1990,1991,3270.529,196231740.0,432616933.12898755
Guinea,October,1990/91,1990,1991,44.46,2667600.0,5881051.30604706
Guyana,October,1990/91,1990,1991,0.0,0.0,0.0
Honduras,October,1990/91,1990,1991,1567.958,94077480.0,207405340.61464095
India,October,1990/91,1990,1991,2828.687,169721220.0,374171241.01998067
Jamaica,October,1990/91,1990,1991,22.574,1354440.0,2986029.063938514
Kenya,October,1990/91,1990,1991,1485.135,89108100.0,196449733.05007198
Lao People's Democratic Republic,October,1990/91,1990,1991,0.0,0.0,0.0
Liberia,October,1990/91,1990,1991,3.0,180000.0,396832.071933
Mexico,October,1990/91,1990,1991,4674.245,280454700.0,618296776.0241553
Nepal,October,1990/91,1990,1991,0.0,0.0,0.0
Nicaragua,October,1990/91,1990,1991,461.078,27664680.0,60990179.35424126
Nigeria,October,1990/91,1990,1991,29.19,1751400.0,3861176.05990809
Panama,October,1990/91,1990,1991,214.987,12899220.0,28437912.216219958
Sierra Leone,October,1990/91,1990,1991,42.783,2566980.0,5659222.177836513
Sri Lanka,October,1990/91,1990,1991,95.87,5752200.0,12681430.24540557
Thailand,October,1990/91,1990,1991,757.017,45421020.0,100136208.19950129
Togo,October,1990/91,1990,1991,161.308,9678480.0,21337395.953122787
Trinidad & Tobago,October,1990/91,1990,1991,14.581,874860.0,1928736.146951691
Uganda,October,1990/91,1990,1991,1955.009,117300540.0,258603424.0392208
Venezuela,October,1990/91,1990,1991,1122.477,67348620.0,148478291.20237935
Viet Nam,October,1990/91,1990,1991,1310.288,78617280.0,173321433.95631558
Yemen,October,1990/91,1990,1991,0.0,0.0,0.0
Angola,April,1991/92,1991,1992,79.331,4759860.0,10493695.03283894
Bolivia (Plurinational State of),April,1991/92,1991,1992,103.536,6212160.0,13695468.466551697
Brazil,April,1991/92,1991,1992,27293.4934,1637609604.0,3610311178.7372203
Burundi,April,1991/92,1991,1992,667.199,40031940.0,88255320.52054189
Ecuador,April,1991/92,1991,1992,2123.824,127429440.0,280933826.11367726
Indonesia,April,1991/92,1991,1992,8493.196,509591760.0,1123457522.004356
Madagascar,April,1991/92,1991,1992,932.513,55950780.0,123350355.29815255
Malawi,April,1991/92,1991,1992,124.286,7457160.0,16440223.630754946
Papua New Guinea,April,1991/92,1991,1992,746.816,44808960.0,98786846.87757178
Paraguay,April,1991/92,1991,1992,79.653,4779180.0,10536288.341893082
Peru,April,1991/92,1991,1992,1200.474,72028440.0,158795528.24056542
Rwanda,April,1991/92,1991,1992,483.83,29029800.0,63999753.787781134
Timor-Leste,April,1991/92,1991,1992,0.0,0.0,0.0
Zimbabwe,April,1991/92,1991,1992,201.394,12083640.0,26639866.098291535
Congo,July,1991/92,1991,1992,3.003,180180.0,397228.904004933
Cuba,July,1991/92,1991,1992,302.097,18125820.0,39960592.811581165
Dominican Republic,July,1991/92,1991,1992,320.56,19233600.0,42402829.65961416
