country,calendar_year,exports_1k_bags,exports_kg,exports_lb,population_boy,population_mid
Angola,1990.0,84.35,5061000.0,11157595.08918285,11631523.0,11828638.0
Bolivia (Plurinational State of),1990.0,156.442,9386520.0,20693734.33244746,7022161.0,7096194.0
Brazil,1990.0,16935.7876003,1016147256.0179999,2240221227.748086,149370653.0,150706446.0
Burundi,1990.0,584.773,35086380.0,77352227.0668254,5428165.0,5483794.0
Cameroon,1990.0,2611.2590004,156675540.024,345410439.8274755,11257056.0,11430520.0
Central African Republic,1990.0,196.698,11801880.0,26018691.62835908,2765804.0,2809221.0
Colombia,1990.0,13943.8700004,836632200.0239999,1844458274.3410444,32258765.0,32601393.0
Congo,1990.0,1.68,100800.0,222225.96028248,2352584.0,2385435.0
Costa Rica,1990.0,2265.644,135938640.0,299693400.9275233,3118046.0,3158253.0
Côte d'Ivoire,1990.0,4282.8659998,256971959.98800004,566526196.1706779,11683761.0,11910540.0
Cuba,1990.0,181.7789999,10906739.993999999,24045245.72140853,10577836.0,10626680.0
Democratic Republic of Congo,1990.0,1838.636,110318160.0,243209911.1368678,35371989.0,35987541.0
Dominican Republic,1990.0,535.207,32112420.0,70795767.57434838,7054096.0,7129004.0
Ecuador,1990.0,1783.7159997,107022959.98200001,235945238.6336645,10330392.0,10449838.0
El Salvador,1990.0,2509.873,150592380.0,331999367.6262315,5318010.0,5367179.0
Equatorial Guinea,1990.0,7.068,424080.0,934936.361474148,456888.0,465549.0
Ethiopia,1990.0,1074.101,64446060.0,142079241.76510242,47014026.0,47878074.0
Gabon,1990.0,2.314,138840.0,306089.804817654,969660.0,983028.0
Ghana,1990.0,10.865,651900.0,1437193.487184015,15246974.0,15446982.0
Guatemala,1990.0,3240.141,194408460.0,428597288.7950209,8960841.0,9084780.0
Guinea,1990.0,121.696,7301760.0,16097625.275319457,6215811.0,6354144.0
Guyana,1990.0,0.1999992,11999.952,26455.36564031415,750064.0,747116.0
Haiti,1990.0,191.445,11486700.0,25323838.670404397,6854302.0,6925330.0
Honduras,1990.0,1735.093,104105580.0,229513516.72881493,4982476.0,5053234.0
India,1990.0,1979.1479994,118748879.96399999,261796467.0879846,861204744.0,870452165.0
Indonesia,1990.0,6903.2269994,414193619.964,913140624.3985761,180569113.0,182159874.0
Jamaica,1990.0,14.9839996,899039.976,1982043.8690370813,2382880.0,2392030.0
Kenya,1990.0,1969.338,118160280.0,260498826.2921301,22771593.0,23162269.0
Lao People's Democratic Republic,1990.0,98.3329992,5899979.9520000005,13007229.270640679,4253519.0,4314442.0
Liberia,1990.0,22.411,1344660.0,2964467.854696821,2541701.0,2209730.0
Madagascar,1990.0,863.0399999,51782399.994,114160650.44045772,11705333.0,11882762.0
Malawi,1990.0,124.154,7449240.0,16422763.019589894,9382008.0,9539665.0
Mexico,1990.0,3683.1040021,220986240.126,487191264.09935576,80900795.0,81720428.0
Nepal,1990.0,0.0,0.0,0.0,19367158.0,19616530.0
Nicaragua,1990.0,671.1839999,40271039.994,88782445.77619849,4178417.9999999995,4227820.0
Nigeria,1990.0,3.582,214920.0,473817.493888002,93963392.0,95214257.0
Panama,1990.0,131.654,7899240.0,17414843.199422393,2423862.0,2449968.0
Papua New Guinea,1990.0,1050.719,63043140.0,138986332.59645662,3808516.0,3864972.0
Paraguay,1990.0,262.5019999,15750119.993999999,34723070.83562438,4004903.0,4059194.0
Peru,1990.0,1105.078,66304680.0,146176797.46252525,21865371.0,22109098.0
Philippines,1990.0,168.282001,10096920.06,22259898.37528706,60817097.0,61558898.0
Rwanda,1990.0,779.15,46749000.0,103063902.94886565,7230012.0,7319962.0
Sierra Leone,1990.0,139.744,8384640.0,18484967.020068385,4207467.0,4325388.0
Sri Lanka,1990.0,19.137,1148220.0,2531391.786860607,17095925.0,17204094.0
Tanzania,1990.0,1019.0519998,61143119.988,134797505.4960337,25865477.0,26206012.0
Thailand,1990.0,1001.4349995,60086099.97,132467175.2526026,54773760.0,55228410.0
Timor-Leste,1990.0,0.0,0.0,0.0,749006.0,758106.0
Togo,1990.0,238.838,14330280.0,31592859.465444617,3819252.0,3875947.0
Trinidad & Tobago,1990.0,30.2319997,1813919.982,3999009.026542945,1261638.0,1266518.0
Uganda,1990.0,2352.68,141160800.0,311206292.9984435,17304577.0,17586630.0
Venezuela,1990.0,277.795,16667700.0,36745988.47420925,19512800.0,19750579.0
Viet Nam,1990.0,1145.2340014,68714040.08399999,151488527.20789406,66191958.0,66912613.0
Yemen,1990.0,50.0000002,3000000.012,6613867.8920054715,13119088.0,13375121.0
Zambia,1990.0,24.36,1461600.0,3222276.42409596,7589255.0,7686401.0
Zimbabwe,1990.0,250.772,15046320.0,33171457.44759409,9980999.0,10113893.0
Angola,1991.0,70.501,4230060.0,9325685.96778281,12025752.0,12228690.0
Bolivia (Plurinational State of),1991.0,73.523,4411380.0,9725428.141576653,7170226.0,7244891.0
Brazil,1991.0,21182.7614023,1270965684.138,2801999698.8456964,152042239.0,153336445.0
Burundi,1991.0,687.851,41271060.0,90987112.50372866,5539422.0,5594828.0
Cameroon,1991.0,1752.1790001,105130740.00599998,231773607.66905838,11603984.0,11777720.0
Central African Republic,1991.0,140.95,8457000.0,18644493.51298545,2852638.0,2898052.0
Colombia,1991.0,12599.1849983,755951099.898,1666586895.84752,32944019.999999996,33272627.999999996
Congo,1991.0,0.924,55440.0,122224.278155364,2418286.0,2452674.0
Costa Rica,1991.0,2399.6400001,143978400.006,317418037.7109958,3198461.0,3239414.0
Côte d'Ivoire,1991.0,3804.734001,228284040.05999997,503280158.92358756,12137320.0,12369269.0
Cuba,1991.0,121.429,7285740.0,16062307.220917419,10675524.0,10713812.0
Democratic Republic of Congo,1991.0,1417.957,85077420.0,187563604.74063364,36603092.0,37194812.0
Dominican Republic,1991.0,476.2630001,28575780.006,62998811.03823653,7203912.0,7278402.0
Ecuador,1991.0,1416.3839994,84983039.964,187355532.378217,10569283.0,10686279.0
El Salvador,1991.0,2148.2100002,128892600.01200001,284159541.7755188,5416348.0,5461070.0
Equatorial Guinea,1991.0,3.321,199260.0,439293.103629831,474210.0,483142.0
Ethiopia,1991.0,841.329,50479740.0,111288776.74910632,48742121.0,49937430.0
Gabon,1991.0,3.338,200280.0,441541.818704118,996395.0,1009995.0
Ghana,1991.0,15.702,942120.0,2077019.064497322,15646990.0,15843472.0
Guatemala,1991.0,2831.9850001,169919100.00599998,374607491.75762004,9208719.0,9329556.0
