country,indicator_name,calendar_year,price_paid_cents_per_lb,price_paid_dollars_per_lb,indicator_price_cents_per_lb_ann,indicator_price_dollars_per_lb_ann
Colombia,colombian_milds,1990,69.523,0.69523,96.53,0.9653
Kenya,colombian_milds,1990,60.5721,0.605721,96.53,0.9653
Tanzania,colombian_milds,1990,40.8183,0.408183,96.53,0.9653
Bolivia (Plurinational State of),other_milds,1990,51.7802,0.517802,89.46,0.8946
Burundi,other_milds,1990,58.0195,0.580195,89.46,0.8946
Cameroon,other_milds,1990,32.2852,0.32285200000000003,89.46,0.8946
Costa Rica,other_milds,1990,58.4893,0.584893,89.46,0.8946
Cuba,other_milds,1990,171.4282,1.714282,89.46,0.8946
Democratic Republic of Congo,other_milds,1990,,,89.46,0.8946
Dominican Republic,other_milds,1990,66.055,0.6605500000000001,89.46,0.8946
Ecuador,other_milds,1990,35.2113,0.352113,89.46,0.8946
El Salvador,other_milds,1990,50.5636,0.505636,89.46,0.8946
Guatemala,other_milds,1990,54.5845,0.545845,89.46,0.8946
Haiti,other_milds,1990,41.2845,0.412845,89.46,0.8946
Honduras,other_milds,1990,50.3496,0.503496,89.46,0.8946
India,other_milds,1990,66.7522,0.6675220000000001,89.46,0.8946
Jamaica,other_milds,1990,171.5513,1.715513,89.46,0.8946
Madagascar,other_milds,1990,,,89.46,0.8946
Malawi,other_milds,1990,84.873,0.8487300000000001,89.46,0.8946
Mexico,other_milds,1990,79.5617,0.795617,89.46,0.8946
Nicaragua,other_milds,1990,,,89.46,0.8946
Panama,other_milds,1990,49.304,0.49304000000000003,89.46,0.8946
Papua New Guinea,other_milds,1990,65.5004,0.655004,89.46,0.8946
Peru,other_milds,1990,90.3729,0.903729,89.46,0.8946
Rwanda,other_milds,1990,74.2047,0.742047,89.46,0.8946
Sri Lanka,other_milds,1990,,,89.46,0.8946
Uganda,other_milds,1990,15.2932,0.152932,89.46,0.8946
Venezuela,other_milds,1990,,,89.46,0.8946
Zambia,other_milds,1990,89.7541,0.8975409999999999,89.46,0.8946
Zimbabwe,other_milds,1990,,,89.46,0.8946
Angola,brazilian_naturals,1990,,,82.97,0.8297
Brazil,brazilian_naturals,1990,54.3248,0.5432480000000001,82.97,0.8297
Ethiopia,brazilian_naturals,1990,61.09,0.6109,82.97,0.8297
Indonesia,brazilian_naturals,1990,,,82.97,0.8297
Philippines,brazilian_naturals,1990,,,82.97,0.8297
Thailand,brazilian_naturals,1990,,,82.97,0.8297
Viet Nam,brazilian_naturals,1990,,,82.97,0.8297
Angola,robustas,1990,85.6569,0.8565689999999999,53.6,0.536
Benin,robustas,1990,53.7609,0.537609,53.6,0.536
Brazil,robustas,1990,34.8486,0.34848599999999996,53.6,0.536
Burundi,robustas,1990,,,53.6,0.536
Cameroon,robustas,1990,28.3337,0.283337,53.6,0.536
Central African Republic,robustas,1990,36.7471,0.36747100000000005,53.6,0.536
Congo,robustas,1990,19.2087,0.192087,53.6,0.536
Côte d'Ivoire,robustas,1990,33.4064,0.33406399999999997,53.6,0.536
Democratic Republic of Congo,robustas,1990,4.5201,0.045201000000000005,53.6,0.536
Ecuador,robustas,1990,19.0602,0.190602,53.6,0.536
Gabon,robustas,1990,43.4284,0.43428400000000006,53.6,0.536
Ghana,robustas,1990,,,53.6,0.536
Guinea,robustas,1990,34.3722,0.34372199999999997,53.6,0.536
India,robustas,1990,44.3451,0.44345100000000004,53.6,0.536
Indonesia,robustas,1990,29.6807,0.29680700000000004,53.6,0.536
Liberia,robustas,1990,,,53.6,0.536
Madagascar,robustas,1990,32.4545,0.32454500000000003,53.6,0.536
Nigeria,robustas,1990,70.5228,0.7052280000000001,53.6,0.536
Papua New Guinea,robustas,1990,26.5984,0.265984,53.6,0.536
Philippines,robustas,1990,34.2253,0.342253,53.6,0.536
Sierra Leone,robustas,1990,26.1686,0.26168600000000003,53.6,0.536
Sri Lanka,robustas,1990,26.8959,0.268959,53.6,0.536
Tanzania,robustas,1990,17.007,0.17007000000000003,53.6,0.536
Thailand,robustas,1990,37.7181,0.377181,53.6,0.536
Togo,robustas,1990,29.2306,0.292306,53.6,0.536
Trinidad & Tobago,robustas,1990,62.5882,0.625882,53.6,0.536
Uganda,robustas,1990,7.5418,0.075418,53.6,0.536
Viet Nam,robustas,1990,36.9183,0.36918300000000004,53.6,0.536
Colombia,colombian_milds,1991,67.1251,0.671251,89.76,0.8976000000000001
Kenya,colombian_milds,1991,50.6778,0.506778,89.76,0.8976000000000001
Tanzania,colombian_milds,1991,49.5039,0.495039,89.76,0.8976000000000001
Bolivia (Plurinational State of),other_milds,1991,52.423,0.52423,84.98,0.8498
Burundi,other_milds,1991,55.0206,0.550206,84.98,0.8498
Cameroon,other_milds,1991,28.2347,0.282347,84.98,0.8498
Costa Rica,other_milds,1991,52.7258,0.527258,84.98,0.8498
Cuba,other_milds,1991,171.4282,1.714282,84.98,0.8498
Democratic Republic of Congo,other_milds,1991,,,84.98,0.8498
Dominican Republic,other_milds,1991,62.6429,0.626429,84.98,0.8498
Ecuador,other_milds,1991,36.1803,0.36180300000000004,84.98,0.8498
El Salvador,other_milds,1991,44.5445,0.445445,84.98,0.8498
Guatemala,other_milds,1991,57.5349,0.575349,84.98,0.8498
Haiti,other_milds,1991,23.9888,0.23988800000000002,84.98,0.8498
Honduras,other_milds,1991,56.1243,0.5612429999999999,84.98,0.8498
India,other_milds,1991,61.5342,0.615342,84.98,0.8498
Jamaica,other_milds,1991,227.4241,2.274241,84.98,0.8498
Madagascar,other_milds,1991,,,84.98,0.8498
Malawi,other_milds,1991,70.9354,0.709354,84.98,0.8498
Mexico,other_milds,1991,86.5563,0.865563,84.98,0.8498
Nicaragua,other_milds,1991,44.137,0.44137,84.98,0.8498
Panama,other_milds,1991,47.2497,0.47249699999999994,84.98,0.8498
Papua New Guinea,other_milds,1991,64.5333,0.6453329999999999,84.98,0.8498
Peru,other_milds,1991,,,84.98,0.8498
Rwanda,other_milds,1991,50.3764,0.503764,84.98,0.8498
Sri Lanka,other_milds,1991,,,84.98,0.8498
Uganda,other_milds,1991,29.6408,0.296408,84.98,0.8498
Venezuela,other_milds,1991,,,84.98,0.8498
Zambia,other_milds,1991,70.3159,0.703159,84.98,0.8498
Zimbabwe,other_milds,1991,,,84.98,0.8498
Angola,brazilian_naturals,1991,,,72.91,0.7291
Brazil,brazilian_naturals,1991,43.9931,0.43993099999999996,72.91,0.7291
Ethiopia,brazilian_naturals,1991,68.1911,0.681911,72.91,0.7291
Indonesia,brazilian_naturals,1991,,,72.91,0.7291
Philippines,brazilian_naturals,1991,,,72.91,0.7291
Thailand,brazilian_naturals,1991,,,72.91,0.7291
Viet Nam,brazilian_naturals,1991,,,72.91,0.7291
Angola,robustas,1991,91.1153,0.9111530000000001,48.62,0.48619999999999997
Benin,robustas,1991,22.8961,0.228961,48.62,0.48619999999999997
Brazil,robustas,1991,27.4947,0.274947,48.62,0.48619999999999997
Burundi,robustas,1991,,,48.62,0.48619999999999997
Cameroon,robustas,1991,25.0078,0.250078,48.62,0.48619999999999997
Central African Republic,robustas,1991,36.6398,0.366398,48.62,0.48619999999999997
