country,harvest_group,crop_year,crop_year_beg,crop_year_end,openstock_1k_bags,openstock_kg,openstock_lb,production_1k_bags,production_kg,production_lb,consumption_1k_bags,consumption_kg,consumption_lb,exports_1k_bags,exports_kg,exports_lb,closestock_1k_bags,closestock_kg,closestock_lb,imports_1k_bags,imports_kg,imports_lb,stock_adj_1k_bags,stock_adj_kg,stock_adj_lb,population_beg,population_mid,population_end
Angola,April,1990/91,1990,1991,210.0,12600000.0,27778245.03531,50.345,3020700.0,6659503.553822295,20.0,1200000.0,2645547.14622,79.345,4760700.0,10495546.915841294,161.0,9660000.0,21296654.53,0.0,0.0,0.0,0.0,0.0,-0.002929002046585083,11631523.0,11828638.0,12025752.0
Angola,April,1991/92,1991,1992,161.0,9660000.0,21296654.527071,79.331,4759860.0,10493695.03283894,30.0,1800000.0,3968320.71933,74.331,4459860.0,9832308.246283941,136.0,8160000.0,17989720.59,0.0,0.0,0.0,0.0,0.0,0.004296001046895981,12025752.0,12228690.0,12431629.0
Angola,April,1992/93,1992,1993,136.0,8160000.0,17989720.594296,77.52,4651200.0,10254140.73874872,35.0,2100000.0,4629707.505885,67.52,4051200.0,8931367.16563872,111.0,6660000.0,14682786.66,0.0,0.0,0.0,0.0,0.0,0.0015210006386041641,12431629.0,12632507.0,12833385.0
Angola,April,1993/94,1993,1994,111.0,6660000.0,14682786.661521,32.608,1956479.9999999998,4313300.067197087,20.0,1200000.0,2645547.14622,27.608,1656480.0,3651913.280642088,96.0,5760000.0,12698626.3,0.0,0.0,0.0,0.0,0.0,0.001855999231338501,12833385.0,13038270.0,13243154.0
Angola,April,1994/95,1994,1995,96.0,5760000.0,12698626.301856,76.802,4608120.0,10159165.596199421,25.0,1500000.0,3306933.932775,11.802,708120.0,1561137.370984422,136.0,8160000.0,17989720.59,0.0,0.0,0.0,0.0,0.0,0.004296001046895981,13243154.0,13462031.0,13680908.0
Angola,April,1995/96,1995,1996,136.0,8160000.0,17989720.594296,62.109,3726540.0,8215614.385228899,10.0,600000.0,1322773.57311,48.109,2886540.0,6363731.382874899,140.0,8400000.0,18518830.02,0.0,0.0,0.0,0.0,0.0,0.0035400018095970154,13680908.0,13912252.0,14143597.0
Angola,April,1996/97,1996,1997,140.0,8400000.0,18518830.02354,70.925,4255500.0,9381771.567282675,20.0,1200000.0,2645547.14622,50.925,3055500.0,6736224.421062675,140.0,8400000.0,18518830.02,0.0,0.0,0.0,0.0,0.0,0.0035400018095970154,14143597.0,14383350.0,14623102.0
Angola,April,1997/98,1997,1998,140.0,8400000.0,18518830.02354,64.33,3859800.0,8509402.39581663,40.0,2400000.0,5291094.29244,54.33,3259800.0,7186628.82270663,110.0,6600000.0,14550509.3,0.0,0.0,0.0,0.0,0.0,0.004209998995065689,14623102.0,14871146.0,15119190.0
Angola,April,1998/99,1998,1999,110.0,6600000.0,14550509.30421,85.344,5120640.0,11289078.782349983,30.0,1800000.0,3968320.71933,55.344,3320640.0,7320758.063019984,110.0,6600000.0,14550509.3,0.0,0.0,0.0,0.0,0.0,0.004209998995065689,15119190.0,15366864.0,15614538.0
Angola,April,1999/00,1999,2000,110.0,6600000.0,14550509.30421,54.939,3296340.0,7267185.733309029,20.0,1200000.0,2645547.14622,39.939,2396340.0,5283025.373644029,105.0,6300000.0,13889122.52,0.0,0.0,0.0,0.0,0.0,-0.002344999462366104,15614538.0,15870752.0,16126967.0
